Liszki UG,Liszki I
Trojanowice Strugi,Zielonki Rozjazd
Bujaka,Kurdwanów
Makuszyńskiego,Nad Dłubnią
Stare Wiślisko,Lasek Mogilski
Żerkowice Kolonia,Kozierów Skrzyżowanie
Kokotów II,Węgrzce Wielkie II
Zesławice Ogródki Działkowe,Kantorowice
Opolska Kładka,Opolska
Zaskale,Na Krępaku
Lusina I,Opatkowice Krzyżówka
Łęg,Siwka
Rondo Mogilskie,Miechowity
Wadów,Wadów Szkoła
Radwanowice Pętla,Radwanowice I
Wielkie Drogi PKP,Wielkie Drogi
Kampus UJ,Bunscha
Kamieńskiego,Rondo Matecznego
Ujazd Pętla,Brzezie Działki
Miechowity,Rondo Barei
Jasieńskiego,Złocieniowa
Skawina Cmentarz,Skawina Popiełuszki
Nielepice,Nielepice Stadnina
Rondo Czyżyńskie,Czyżyny Dworzec
Francesco Nullo,Kordylewskiego
Michałowice Las Michałowski,Michałowice Ujęcie Wody
Wołowice Kapliczka,Wołowice Sklep
Wrząsowice,Dąbrówki I
Rondo Kocmyrzowskie,Os.Zgody
Modlnica,Tomaszowice Wedonka
Barwna,Węgrzynowice Centrum
Kurdwanów Szkoła,Bojki
Hala Targowa,Starowiślna
Zielonki Rozjazd,Zielonki Transformator
Muzeum Inżynierii Miejskiej,Dajwór
Drużbackiej,Krzemieniecka
Balice III,Kraków Airport T1
Miodowa,Muzeum Inżynierii Miejskiej
Stradom,Wawel
Prądnik Czerwony,Rondo Barei
Majora,Sudolska
Krowodrza Górka,Krowodrza Urzędy Skarbowe
Sułków,Ochmanów Oknoplast
Most Grunwaldzki,Rynek Dębnicki
Zdrowa,Pleszowska
Przybysławice III,Przybysławice I
DH Wanda,Rondo Hipokratesa
Lubostroń,Torfowa
Wola Zabierzowska,Chobot
Lipka,Zielona Mała
Bronowice Wiadukt,Rondo Ofiar Katynia
Tomaszowice Wedonka,Modlnica
Prosta,Bieżanowska
Kostrze Kapliczka,Kolna
Tyniec,Bogucianka
Bieżanów Bazy,Agatowa
Zabierzów Młyn,Zielona Mała
Modlnica I Kolonia,Modlnica II
Rudawa Młyn,Młynka
Tretówka,Warchałowskiego
Krzysztoforzyce,Krzysztoforzyce Sklep 
Kocmyrzów,Luborzyca I
Herberta,Myślenicka
Petöfiego,Zajezdnia Bieńczyce
M1 Al. Pokoju,Nowohucka
Rondo Grzegórzeckie,Rondo Mogilskie
Radziszów Podlesie,Radziszów Leśniczówka
Jubilat,Filharmonia
Cholerzyn Sklep,Cholerzyn Skrzyżowanie
Stoczniowców,Ofiar Dąbia
Plac Inwalidów,Batorego
Tonie Skrzyżowanie,Tonie Gliniki
Libertów Szkoła,Libertów Działy
Imbramowska,Opolska Estakada
Zielona Mała,Zielona
Lubocza Szkoła,Lubocza Trafo
Czernichów GS,Czernichów
Pisary Kiosk,Pisary Dwór
